state,x,y
Andhra Pradesh,-105,-184
Arunachal Pradesh,226,110
Assam,190,68
Bihar,53,56
Chhattisgarh,-13,-39
Goa,-190,-186
Gujarat,-265,7
Haryana,-158,144
Himachal Pradesh,-137,200
Jharkhand,36,9
Karnataka,-169,-194
Kerala,-149,-294
Madhya Pradesh,-125,1
Maharashtra,-169,-94
Manipur,243,33
Meghalaya,167,45
Mizoram,222,-13
Nagaland,256,63
Odisha,9,-69
Punjab,-173,189
Rajasthan,-217,74
Sikkim,119,105
Tamil Nadu,-100,-295
Telangana,-99,-125
Tripura,198,13
Uttar Pradesh,-67,96
Uttarakhand,-93,174
West Bengal,93,-6
Andaman And Nicobar Islands,100,-280
Chandigarh,-157,170
Dadra and Nagar Haveli And Daman and Diu,-285,-65
Delhi,-120,125
Jammu And Kashmir,-170,270
Ladakh,-90,295
Lakshadweep,-260,-300
Puducherry,-55,-273

